step,pend_rad,arm_rad,pend_vel,arm_vel,voltage,late,controller
114,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
115,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
116,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
117,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
118,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
119,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
120,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
121,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
122,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
123,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
124,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
125,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
126,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
127,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
128,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
129,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
130,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
131,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
132,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
133,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
134,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
135,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
136,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
137,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
138,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
139,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
140,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
141,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
142,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
143,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
144,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
145,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
146,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
147,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
148,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
149,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
150,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
151,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
152,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
153,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
154,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
155,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
156,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
157,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
158,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
159,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
160,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
161,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
162,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
163,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
164,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
165,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
166,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
167,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
168,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
169,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
170,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
171,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
172,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
173,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
174,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
175,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
176,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
177,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
178,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
179,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
180,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
181,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
182,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
183,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
184,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
185,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
186,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
187,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
188,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
189,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
190,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
191,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
192,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
193,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
194,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
195,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
